OTU,Domain,Phylum,Class,Order,Family,Genus,Label
BOTU_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_1_Sphingomonas
BOTU_10,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,BOTU_10_Nocardioides
BOTU_100,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,BOTU_100_Bacillus
BOTU_1000,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gemmataceae,unidentified,BOTU_1000_Gemmataceae
BOTU_10000,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,unidentified,BOTU_10000_Paenibacillaceae_1
BOTU_10001,Bacteria,Bacteroidetes,unidentified,unidentified,unidentified,unidentified,BOTU_10001_Bacteroidetes
BOTU_10002,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_10002_Bacteria
BOTU_10003,Bacteria,Proteobacteria,Gammaproteobacteria,unidentified,unidentified,unidentified,BOTU_10003_Gammaproteobacteria
BOTU_10004,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_10004_Bacteria
BOTU_10005,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_10005_Bacteria
BOTU_10006,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_10006_Bacteria
BOTU_10007,Bacteria,Acidobacteria,Acidobacteria_Gp3,unidentified,unidentified,Candidatus_Solibacter,BOTU_10007_Acidobacteria_Gp3
BOTU_10008,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_10008_Bacteria
BOTU_10009,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_10009_Bacteria
BOTU_1001,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_1001_Bacteria
BOTU_10010,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,BOTU_10010_Gemmatimonas
BOTU_10011,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_10011_Bacteria
BOTU_10012,Bacteria,Bacteroidetes,unidentified,unidentified,unidentified,unidentified,BOTU_10012_Bacteroidetes
BOTU_10013,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,unidentified,BOTU_10013_Parachlamydiaceae
BOTU_10014,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_10014_Bacteria
