OTU,T4R5CC2,T2R6CC1,T1R5CC1,T1R6CC2,T4R6BC3,T1R2BC1,T4R6BC1,T2R1BC2,T4R5CC3,T2R5BC1,T1R5AC3,T2R5AC3,T1R2AC2,T2R2CC1,T4R2AC2,T2R5BC2,T1R6BC2,T1R2AC1,T2R5CC3,T4R5AC2,T2R6AC3,T2R6CC3,T4R2CC2,T1R5CC3,T4R5CC1,T4R6CC2,T1R5AC1,T2R1AC1,T1R6CC3,T1R1CC2,T2R6CC2,T4R1CC2,T2R5BC3,T4R6AC3,T1R5CC2,T2R5CC1,T4R2CC1,T2R6AC1,T1R6BC1,T1R1BC3,T4R6CC1,T1R6CC1,T4R6CC3,T2R5AC1,T1R5BC1,T2R2BC3,T4R1AC2,T2R1BC3,T1R6AC2,T4R5BC3,T4R2AC1,T2R2CC2,T1R2BC3,T1R1BC2,T4R2AC3,T2R1CC1,T4R1CC3,T1R5BC2,T4R1BC1,T2R1AC2,T1R2BC2,T1R1AC1,T4R2BC1,T1R2CC2,T2R1CC3,T1R6BC3,T4R6AC1,T2R6BC3,T2R5CC2,T1R1CC3,T4R1AC1,T1R5AC2,T1R6AC3,T4R5BC2,T2R2CC3,T1R1AC3,T1R1AC2,T4R1CC1,T1R1BC1,NEG7,T2R2AC3,T4R1BC2,T2R6BC1,T2R1BC1,T2R6BC2,T1R6AC1,T4R6BC2,T4R5AC1,T4R1BC3,T2R1AC3,T4R1AC3,T4R2BC2,T4R5BC1,T2R5AC2,T4R5AC3,T2R6AC2,T1R2CC3,T4R2BC3,T2R2AC2,T4R2CC3,T1R2CC1,T1R2AC3,T2R2BC2,T2R2BC1,T2R1CC2,T1R1CC1,T4R6AC2,T1R5BC3,T2R2AC1,NEG5,NEG6,NEG3,NEG4,NEG1,NEG8,NEG2
BOTU_453,13,31,98,16,8,30,18,24,11,56,16,11,26,23,13,15,27,29,6,15,24,20,18,20,18,33,49,31,23,9,34,10,37,11,32,10,16,11,61,40,15,83,22,5,23,11,2,18,37,7,7,42,17,17,8,24,27,24,22,9,36,24,13,17,14,1,8,29,20,12,17,43,41,8,7,30,10,14,64,30,10,2,20,36,14,97,28,4,13,20,14,11,9,2,14,12,17,39,18,20,39,21,18,56,47,29,10,11,13,3,0,0,0,0,0,0
BOTU_1398,1,9,3,0,0,2,1,1,0,5,0,0,1,2,2,3,0,1,0,2,0,2,2,0,10,1,1,5,0,0,0,0,3,0,0,0,5,1,1,2,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,2,1,2,2,1,0,1,1,4,0,1,0,0,0,0,0,2,1,2,2,0,2,4,2,0,4,0,1,0,0,1,1,3,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BOTU_1,356,224,771,886,1019,524,685,169,3871,230,161,464,306,387,267,433,484,621,243,534,719,548,711,1468,474,935,391,189,652,582,834,589,356,1349,1325,152,828,427,382,514,571,485,1315,58,581,269,500,748,555,2084,393,504,733,508,1425,285,1302,416,490,580,542,541,705,491,520,323,614,329,428,718,476,630,359,458,421,578,922,1131,570,440,1305,500,96,255,590,547,529,872,1498,215,951,775,351,83,2075,650,854,656,416,1515,623,818,156,367,428,627,773,1111,81,53,5,40,0,5,0,0
BOTU_390,4,2,7,8,9,11,19,2,24,3,0,4,4,2,5,5,4,5,2,10,3,3,19,5,10,10,8,3,4,2,2,2,4,7,7,1,18,4,7,5,13,11,17,2,13,1,10,3,2,15,28,0,1,10,17,2,15,2,12,1,3,24,17,2,0,2,7,4,0,5,13,0,4,5,1,2,1,18,6,0,1,9,10,3,1,21,23,10,10,3,12,11,6,2,9,5,5,8,0,5,7,5,0,7,0,9,10,2,32,0,0,0,0,0,0,0
BOTU_4,170,88,207,312,790,303,288,23,646,142,38,64,127,100,316,17,225,308,67,241,29,43,260,315,237,399,181,209,150,190,183,225,42,747,214,46,540,44,312,327,420,340,366,54,402,14,323,44,226,210,378,70,140,275,1145,99,465,106,448,36,92,443,485,183,85,211,348,36,37,435,565,75,108,220,19,290,162,586,343,33,46,255,58,61,48,488,342,718,885,36,272,197,308,32,443,18,673,399,20,689,220,133,16,18,60,356,223,76,37,9,11,17,0,0,0,1
BOTU_571,4,9,12,0,5,15,20,21,1,15,0,3,19,15,1,3,0,17,1,4,11,2,7,1,11,4,36,7,0,2,2,0,2,2,5,2,7,8,7,1,4,7,5,5,15,1,9,5,6,3,3,0,1,6,7,8,4,13,2,55,4,17,6,6,3,1,6,3,10,8,8,5,0,8,0,6,1,5,35,6,0,4,15,8,2,1,2,3,4,1,3,2,3,2,0,5,1,7,9,1,7,2,3,27,1,3,3,3,7,0,0,0,0,0,0,0
BOTU_5462,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_62,27,23,15,7,59,22,48,25,40,83,0,50,31,31,30,124,9,39,33,53,90,62,59,12,48,23,29,20,1,29,57,38,48,98,21,60,73,73,6,11,45,5,85,19,17,4,78,51,12,61,42,9,21,31,82,19,80,17,34,91,10,49,34,26,19,2,26,29,90,17,51,3,16,39,31,18,24,73,55,61,43,39,44,37,32,10,12,114,128,9,82,29,52,9,118,63,37,42,14,69,28,21,11,120,17,54,37,9,20,0,0,0,0,0,0,0
BOTU_81,196,336,314,62,166,337,92,372,199,247,35,325,111,351,316,50,205,252,212,148,406,189,364,87,341,409,263,471,126,26,145,91,492,285,98,140,238,212,281,384,197,332,282,344,244,20,32,133,212,54,163,126,122,48,197,259,886,69,215,86,331,281,143,123,117,28,180,281,204,61,247,82,407,117,16,291,41,96,280,260,78,150,248,218,277,524,452,78,177,326,166,150,130,338,139,299,72,373,69,250,166,135,127,104,139,208,139,52,174,0,0,0,0,1,1,0
BOTU_143,27,42,52,21,26,68,19,18,30,54,5,26,21,94,16,47,19,57,51,33,27,25,34,25,50,27,46,64,24,18,11,10,48,45,29,46,28,61,31,40,34,28,50,15,85,7,19,23,27,23,26,17,29,54,46,48,35,16,21,15,29,97,36,41,36,5,19,28,32,48,32,12,32,47,14,44,20,17,53,20,31,16,17,39,22,28,34,45,43,26,17,20,31,18,33,32,19,16,5,29,43,51,25,40,12,45,23,20,39,0,0,0,0,0,0,0
